Concepticon_ID_x,Concepticon_ID_y,clics_form_x,clics_form_y,cosine_similarity
1669,934,nuno,kalabawramo,0.20029797
1669,1352,nuno,kampit,0.26016277
1669,1895,nuno,damit,0.09788135
1669,945,nuno,sibat,0.15851682
1669,3321,nuno,lanaw,0.20404051
1669,3324,nuno,bakal,0.10890316
1669,3325,nuno,perlas,0.13650626
1669,730,nuno,ahas,0.18149623
1669,3154,nuno,baboyramo,0.18388696
1669,3326,nuno,katad,0.08605982
1669,1616,nuno,kayo,0.11005915
1669,1927,nuno,kawayanspinyspecies,0.142716
1669,2680,nuno,gulok,0.2634318
1669,846,nuno,tigre,0.16046348
823,1343,mangkukulam,araw,0.13725765
823,1313,mangkukulam,buwan,0.094749495
823,1430,mangkukulam,bituwin,0.04445818
823,1793,mangkukulam,kabag,0.1984087
823,937,mangkukulam,ibon,0.14194477
823,1490,mangkukulam,daga,0.14910816
823,2348,mangkukulam,alimango,0.15356824
823,1350,mangkukulam,matsing,0.21937908
823,862,mangkukulam,asukal,0.10037016
823,2769,mangkukulam,karnengbaboy,0.27788958
823,665,mangkukulam,pukyutan,0.18174857
823,1100,mangkukulam,lutu,0.15475419
823,1261,mangkukulam,awit,0.07588035
823,1435,mangkukulam,maghanap,0.19659889
823,354,mangkukulam,bayo,0.01340642
823,926,mangkukulam,bigas,0.1763187
823,1191,mangkukulam,kanin,0.1576667
823,748,mangkukulam,hasik,0.13663736
823,146,mangkukulam,tubo,0.08850086
823,1369,mangkukulam,ginto,0.18675976
823,410,mangkukulam,kamote,0.19580609
823,1844,mangkukulam,paraw,0.16628754
823,1803,mangkukulam,kahoy,0.18835655
823,3318,mangkukulam,gaodoar,0.09692356
823,942,mangkukulam,pulotpukyutan,0.27217674
823,1787,mangkukulam,panghabi,0.29021832
823,634,mangkukulam,laman,0.06845341
823,284,mangkukulam,asarol,0.19092631
823,133,mangkukulam,habi,0.15303306
823,140,mangkukulam,palayan,0.21071167
823,1524,mangkukulam,alak,0.2218925
823,2794,mangkukulam,linang,0.14193952
823,225,mangkukulam,halo,0.1720603
823,1537,mangkukulam,tagulan,0.16377364
823,1075,mangkukulam,panghuli,0.2514627
823,3320,mangkukulam,silo,0.12882467
823,1342,mangkukulam,taginit,0.16850276
823,1276,mangkukulam,taglagas,0.16705988
823,1471,mangkukulam,taglamig,0.148502
823,977,mangkukulam,palaso,0.1617696
823,1539,mangkukulam,bilao,0.133615
823,994,mangkukulam,busog,0.03283163
823,245,mangkukulam,walis,0.2663813
823,677,mangkukulam,palakol,0.18748644
823,934,mangkukulam,kalabawramo,0.27736917
823,1352,mangkukulam,kampit,0.21992509
823,1895,mangkukulam,damit,0.24162261
823,945,mangkukulam,sibat,0.075510696
823,3321,mangkukulam,lanaw,0.24089167
823,3324,mangkukulam,bakal,0.23456982
823,3325,mangkukulam,perlas,0.07793302
823,730,mangkukulam,ahas,0.23611048
823,3154,mangkukulam,baboyramo,0.21433023
823,3326,mangkukulam,katad,0.11829704
823,1616,mangkukulam,kayo,0.19627309
823,1927,mangkukulam,kawayanspinyspecies,0.21156713
823,2680,mangkukulam,gulok,0.22338074
823,846,mangkukulam,tigre,0.147448
1343,1313,araw,buwan,0.7130758
1343,1430,araw,bituwin,0.32505995
1343,1793,araw,kabag,0.22587942
1343,937,araw,ibon,0.2488067
1343,1490,araw,daga,0.19010161
1343,2348,araw,alimango,0.12869275
1343,1350,araw,matsing,0.14892325
1343,862,araw,asukal,0.1636374
1343,2769,araw,karnengbaboy,0.3284351
1343,665,araw,pukyutan,0.2212814
1343,1100,araw,lutu,0.14352134
1343,1261,araw,awit,0.24235615
1343,1435,araw,maghanap,0.25893754
1343,354,araw,bayo,0.20723876
1343,926,araw,bigas,0.14993586
1343,1191,araw,kanin,0.21033216
1343,748,araw,hasik,0.26514345
1343,146,araw,tubo,0.15761739
1343,1369,araw,ginto,0.18758722
1343,410,araw,kamote,0.24394268
1343,1844,araw,paraw,0.47058895
1343,1803,araw,kahoy,0.2008109
1343,3318,araw,gaodoar,0.037653036
1343,942,araw,pulotpukyutan,0.37185943
1343,1787,araw,panghabi,0.2702132
1343,634,araw,laman,0.31962
1343,284,araw,asarol,0.16478586
1343,133,araw,habi,0.123815976
1343,140,araw,palayan,0.27098426
1343,1524,araw,alak,0.22369991
1343,2794,araw,linang,0.3695856
1343,225,araw,halo,0.2036827
1343,1537,araw,tagulan,0.39954892
1343,1075,araw,panghuli,0.19791433
1343,3320,araw,silo,0.111293875
1343,1342,araw,taginit,0.4241932
1343,1276,araw,taglagas,0.32313234
1343,1471,araw,taglamig,0.36310703
1343,977,araw,palaso,0.12571816
1343,1539,araw,bilao,0.085328884
1343,994,araw,busog,0.16419739
1343,245,araw,walis,0.1714083
1343,677,araw,palakol,0.1308123
1343,934,araw,kalabawramo,0.3429679
1343,1352,araw,kampit,0.21438566
1343,1895,araw,damit,0.30134106
1343,945,araw,sibat,0.13125212
1343,3321,araw,lanaw,0.35969102
1343,3324,araw,bakal,0.15526669
1343,3325,araw,perlas,0.11967786
1343,730,araw,ahas,0.18347664
1343,3154,araw,baboyramo,0.32393077
1343,3326,araw,katad,0.19376011
1343,1616,araw,kayo,0.30317327
1343,1927,araw,kawayanspinyspecies,0.29014075
1343,2680,araw,gulok,0.15734874
1343,846,araw,tigre,0.121534735
1313,1430,buwan,bituwin,0.2638521
1313,1793,buwan,kabag,0.1893984
1313,937,buwan,ibon,0.20666057
1313,1490,buwan,daga,0.21215376
1313,2348,buwan,alimango,0.15901688
1313,1350,buwan,matsing,0.12750186
1313,862,buwan,asukal,0.14988835
1313,2769,buwan,karnengbaboy,0.27493453
1313,665,buwan,pukyutan,0.099258795
1313,1100,buwan,lutu,0.08181411
1313,1261,buwan,awit,0.20133209
1313,1435,buwan,maghanap,0.1835331
1313,354,buwan,bayo,0.18447852
1313,926,buwan,bigas,0.17074648
1313,1191,buwan,kanin,0.13057755
1313,748,buwan,hasik,0.24694282
1313,146,buwan,tubo,0.17591363
1313,1369,buwan,ginto,0.20522377
